a	[('0', '1338'), ('1', '273'), ('2', '191'), ('3', '681'), ('4', '569')]
ab	[('0', '22'), ('1', '1'), ('3', '2')]
abandoned	[('3', '1'), ('4', '1')]
abate	[('3', '1'), ('4', '2')]
abbreviated	[('0', '1')]
abc	[('0', '3'), ('1', '2')]
abcd	[('0', '2')]
abcdef	[('1', '2')]
abenteuer	[('0', '1')]
abetted	[('2', '1'), ('4', '1')]
abide	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '3')]
ability	[('0', '1')]
able	[('0', '27'), ('1', '3'), ('2', '3'), ('4', '3')]
aboard	[('2', '1'), ('4', '1')]
abound	[('4', '1')]
abounds	[('0', '1')]
about	[('0', '57'), ('1', '22'), ('2', '13'), ('3', '25'), ('4', '24')]
above	[('0', '16'), ('1', '1'), ('3', '7'), ('4', '3')]
abroad	[('3', '1')]
abruptly	[('4', '1')]
abruptness	[('3', '1')]
absent	[('3', '1')]
absolute	[('2', '2'), ('4', '4')]
absolutely	[('0', '4'), ('3', '3')]
absorb	[('3', '1')]
absorbing	[('0', '1')]
abstain	[('3', '1')]
abstract	[('0', '30'), ('4', '2')]
absurd	[('0', '1'), ('1', '2'), ('2', '2'), ('3', '1'), ('4', '5')]
absurdity	[('3', '1')]
absurdum	[('0', '2'), ('3', '1')]
abundant	[('1', '1')]
abundantly	[('3', '1')]
abune	[('4', '2')]
abused	[('4', '2')]
abyss	[('3', '1')]
ac	[('0', '22'), ('1', '1'), ('3', '2')]
academy	[('3', '1')]
accented	[('0', '3')]
accents	[('0', '1'), ('3', '1')]
accept	[('0', '2'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '2')]
acceptable	[('0', '1')]
accepted	[('0', '6'), ('1', '2'), ('2', '2'), ('3', '3'), ('4', '2')]
accepting	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
accepts	[('0', '1')]
access	[('0', '10'), ('1', '10'), ('2', '10'), ('3', '10'), ('4', '10')]
accessed	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
accessible	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
accident	[('3', '1'), ('4', '2')]
accidental	[('3', '3')]
accidents	[('4', '1')]
accipe	[('3', '1')]
accommodate	[('0', '3'), ('3', '2'), ('4', '1')]
accommodated	[('3', '1')]
accordance	[('0', '4'), ('1', '4'), ('2', '2'), ('3', '4'), ('4', '2')]
according	[('0', '6'), ('1', '2'), ('3', '4'), ('4', '1')]
accordingly	[('0', '1')]
accost	[('4', '1')]
account	[('0', '2'), ('3', '6')]
accounts	[('0', '2'), ('1', '1')]
accuracy	[('3', '1')]
accustomed	[('0', '8'), ('3', '1')]
acde	[('1', '2')]
ache	[('0', '2'), ('1', '5'), ('4', '1')]
achieved	[('3', '1')]
achilles	[('3', '2')]
acid	[('4', '1')]
acquaintances	[('0', '3'), ('3', '1')]
acquired	[('0', '1')]
acquiring	[('3', '1')]
acres	[('0', '5')]
acrobatic	[('0', '6')]
across	[('0', '3'), ('2', '1'), ('3', '4'), ('4', '4')]
acrostic	[('4', '2')]
acrostics	[('4', '1')]
act	[('0', '1'), ('1', '1'), ('3', '1')]
action	[('3', '1')]
active	[('0', '2'), ('1', '5'), ('2', '2'), ('3', '2'), ('4', '2')]
acts	[('0', '1')]
actual	[('0', '6'), ('1', '5'), ('2', '1'), ('3', '2'), ('4', '2')]
actually	[('0', '2'), ('1', '4'), ('3', '3')]
acuteness	[('3', '1')]
ad	[('0', '21'), ('1', '1'), ('3', '2')]
adapted	[('0', '1'), ('4', '1')]
add	[('0', '5'), ('2', '2'), ('3', '8'), ('4', '2')]
added	[('0', '2'), ('2', '2'), ('3', '14'), ('4', '6')]
adder	[('3', '2')]
adding	[('0', '6'), ('1', '1'), ('3', '7')]
addish	[('3', '1')]
addition	[('0', '4'), ('1', '1'), ('2', '1'), ('3', '5'), ('4', '1')]
additional	[('0', '6'), ('1', '4'), ('2', '5'), ('3', '8'), ('4', '5')]
additions	[('0', '4'), ('1', '1'), ('2', '1'), ('3', '2'), ('4', '2')]
addlepate	[('3', '3')]
address	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '2'), ('4', '2')]
addressed	[('0', '3'), ('1', '1'), ('3', '1'), ('4', '2')]
addresses	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
adds	[('3', '5')]
adelaide	[('3', '1')]
adeline	[('3', '1')]
adelphi	[('4', '1')]
adjective	[('1', '1')]
adjectives	[('0', '7')]
adjunct	[('0', '28')]
adjuncts	[('0', '3')]
admirable	[('3', '2')]
admirably	[('0', '1')]
admiralty	[('2', '1'), ('4', '1')]
admire	[('0', '9'), ('4', '3')]
admired	[('0', '6')]
admirers	[('0', '1')]
admires	[('0', '2'), ('1', '1')]
admiring	[('0', '1')]
admissible	[('0', '1'), ('3', '1')]
admit	[('0', '4'), ('3', '2'), ('4', '1')]
admits	[('0', '1'), ('3', '1')]
admitted	[('0', '4'), ('3', '1')]
adopt	[('0', '2'), ('1', '1'), ('3', '3')]
adopted	[('0', '4'), ('3', '2')]
adopting	[('0', '1')]
adoption	[('0', '1')]
adopts	[('3', '1')]
adown	[('1', '1'), ('3', '1')]
advance	[('0', '1'), ('3', '1')]
advanced	[('0', '2')]
advantage	[('0', '1'), ('1', '1'), ('3', '2')]
advantageous	[('4', '1')]
adventures	[('0', '5'), ('3', '1'), ('4', '1')]
advertisement	[('0', '1')]
advice	[('0', '1'), ('1', '1'), ('2', '1'), ('4', '1')]
advise	[('0', '1'), ('1', '1'), ('3', '1')]
advised	[('0', '4'), ('2', '2'), ('4', '2')]
advocates	[('0', '1')]
ae	[('0', '10')]
affect	[('0', '1'), ('3', '2')]
affectation	[('0', '1')]
affected	[('0', '4')]
affectionate	[('2', '1'), ('4', '1')]
affectionately	[('4', '1')]
affirm	[('3', '1')]
affirmative	[('0', '6'), ('1', '2'), ('3', '3')]
affirmed	[('0', '1')]
affords	[('3', '1')]
affright	[('4', '1')]
after	[('0', '11'), ('1', '5'), ('2', '4'), ('3', '27'), ('4', '14')]
afternoon	[('3', '2')]
afterwards	[('0', '2'), ('1', '1'), ('3', '6')]
aftur	[('3', '2')]
again	[('0', '14'), ('1', '5'), ('2', '6'), ('3', '33'), ('4', '12')]
against	[('0', '9'), ('1', '2'), ('2', '4'), ('3', '6'), ('4', '5')]
age	[('0', '1'), ('3', '18'), ('4', '5')]
aged	[('0', '1'), ('1', '2'), ('2', '1'), ('3', '6'), ('4', '3')]
ageing	[('4', '1')]
agen	[('4', '1')]
agent	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '2')]
ages	[('2', '1'), ('3', '24'), ('4', '1')]
aggregate	[('0', '2')]
aghast	[('2', '1'), ('4', '7')]
agility	[('3', '1')]
agnes	[('3', '2')]
ago	[('3', '3'), ('4', '2')]
agonized	[('3', '1')]
agonizing	[('4', '1')]
agony	[('0', '1'), ('2', '2'), ('3', '4'), ('4', '3')]
agree	[('0', '18'), ('1', '12'), ('2', '11'), ('3', '10'), ('4', '14')]
agreeable	[('3', '1')]
agreed	[('0', '2'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
agreeing	[('0', '1')]
agreement	[('0', '18'), ('1', '20'), ('2', '18'), ('3', '20'), ('4', '18')]
agrees	[('0', '1'), ('3', '1')]
ah	[('0', '11'), ('3', '3'), ('4', '7')]
aha	[('4', '1')]
ahead	[('2', '2'), ('3', '3'), ('4', '2')]
aid	[('4', '1')]
aided	[('2', '1'), ('4', '1')]
aim	[('3', '1'), ('4', '2')]
aiming	[('4', '1')]
ain	[('4', '1')]
air	[('0', '9'), ('1', '2'), ('2', '1'), ('3', '1'), ('4', '8')]
airily	[('3', '1')]
airs	[('0', '4')]
aix	[('3', '4')]
ak	[('0', '1'), ('1', '1'), ('2', '1'), ('3', '1'), ('4', '1')]
alack	[('4', '2')]
alarm	[('2', '1'), ('3', '2'), ('4', '2')]
alas	[('2', '1'), ('3', '3'), ('4', '1')]
albeit	[('4', '1')]
aldrich	[('0', '1')]
aldrichian	[('0', '1')]
aldrichians	[('0', '1')]
alexander	[('0', '1')]
algebra	[('3', '4')]
algebraical	[('3', '5')]
algebraically	[('3', '1')]
algebraist	[('3', '2')]
algernon	[('3', '7')]
alibi	[('2', '1'), ('4', '1')]
alice	[('0', '13'), ('3', '4'), ('4', '2')]
alight	[('3', '1')]
alike	[('3', '1')]
alive	[('3', '4'), ('4', '1')]
all	[('0', '802'), ('1', '272'), ('2', '44'), ('3', '126'), ('4', '119')]
allay	[('4', '1')]
allow	[('0', '2'), ('1', '3'), ('2', '2'), ('3', '4'), ('4', '7')]
allowed	[('0', '3'), ('3', '1'), ('4', '1')]
allows	[('0', '4')]
allude	[('4', '1')]
alluded	[('0', '2'), ('3', '1')]
alludes	[('3', '1')]
almost	[('0', '5'), ('1', '2'), ('2', '5'), ('3', '6'), ('4', '6')]
alone	[('0', '2'), ('1', '1'), ('2', '3'), ('3', '3'), ('4', '8')]
along	[('0', '14'), ('2', '2'), ('3', '11'), ('4', '5')]
alongside	[('0', '1'), ('3', '1')]
